frame,vx,vy
0,2.00,0.00
1,2.00,0.00
2,2.00,0.00
3,2.00,0.00
4,2.00,0.00
5,2.00,0.00
6,2.00,0.00
7,2.00,0.00
8,2.00,0.00
9,2.00,0.00
10,2.00,0.00
11,2.00,0.00
12,2.00,0.00
13,2.00,0.00
14,2.00,0.00
15,2.00,0.00
16,2.00,0.00
17,2.00,0.00
18,2.00,0.00
19,2.00,0.00
20,2.00,0.00
21,2.00,0.00
22,2.00,0.00
23,2.00,0.00
24,2.00,0.00
25,2.00,0.00
26,2.00,0.00
27,2.00,0.00
28,2.00,0.00
29,2.00,0.00
30,2.00,0.00
31,2.00,0.00
32,2.00,0.00
33,2.00,0.00
34,2.00,0.00
35,2.00,0.00
36,2.00,0.00
37,2.00,0.00
38,2.00,0.00
39,2.00,0.00
40,2.00,0.00
41,2.00,0.00
42,2.00,0.00
43,2.00,0.00
44,2.00,0.00
45,2.00,0.00
46,2.00,0.00
47,2.00,0.00
48,2.00,0.00
49,2.00,0.00
50,2.00,0.00
51,2.00,0.00
52,2.00,0.00
53,2.00,0.00
54,2.00,0.00
55,2.00,0.00
56,2.00,0.00
57,2.00,0.00
58,2.00,0.00
59,2.00,0.00
60,2.00,0.00
61,2.00,0.00
62,2.00,0.00
63,2.00,0.00
64,2.00,0.00
65,2.00,0.00
66,2.00,0.00
67,2.00,0.00
68,2.00,0.00
69,2.00,0.00
70,2.00,0.00
71,2.00,0.00
72,2.00,0.00
73,2.00,0.00
74,2.00,0.00
75,2.00,0.00
76,2.00,0.00
77,2.00,0.00
78,2.00,0.00
79,2.00,0.00
80,2.00,0.00
81,2.00,0.00
82,2.00,0.00
83,2.00,0.00
84,2.00,0.00
85,2.00,0.00
86,2.00,0.00
87,2.00,0.00
88,2.00,0.00
89,2.00,0.00
90,2.00,0.00
91,2.00,0.00
92,2.00,0.00
93,2.00,0.00
94,2.00,0.00
95,2.00,0.00
96,2.00,0.00
97,2.00,0.00
98,2.00,0.00
99,2.00,0.00
